From Number,From Name,To Number,To Name,Circuit,Status,Branch Device Type,Xfrmr,MW From ,Mvar From ,MVA From ,Lim MVA,% of MVA Limit (Max),MW Loss,Mvar Loss
28937,COLTON 4 1,28942,COLTON 4 6,1,Closed,Transformer,YES,-11.1,-4.5,12,14.6,86,0.05,1.22
53267,ALBUQUERQUE 30 2,53269,ALBUQUERQUE 30 4,1,Closed,Transformer,YES,-13.6,-5,14.5,17.8,86,0.09,1.96
28836,RANCHO SANTA FE 1,28838,RANCHO SANTA FE 3,1,Closed,Transformer,YES,-10.9,-4.3,11.7,14.3,86,0.06,1.33
40862,CHANDLER 15 1,40863,CHANDLER 15 2,1,Closed,Transformer,YES,-9.1,-3.6,9.8,12,86,0.04,1.06
60887,WELLINGTON 4 4,60886,WELLINGTON 4 3,2,Closed,Transformer,YES,-73.8,-146.4,163.9,210.4,84.5,0.32,15.27
10735,TACOMA 19 2,10734,TACOMA 19 1,1,Closed,Transformer,YES,-736.3,-1152.5,1367.6,1777.3,83.3,1.47,131.23
13303,PORTLAND 33 2,13302,PORTLAND 33 1,5,Closed,Transformer,YES,-377.5,393,544.9,655,83.2,0.34,19.15
28156,LAGUNA NIGUEL 1 2,28155,LAGUNA NIGUEL 1 1,1,Closed,Transformer,YES,-370.3,-257,450.7,568.4,82.7,0.49,31.63
10460,REDMOND 2 2,10459,REDMOND 2 1,3,Closed,Transformer,YES,-300.3,-539.6,617.6,800,82.2,0.7,44.84
60265,LITTLETON 3 2,60267,LITTLETON 3 4,1,Closed,TransformerWinding,YES,-214.9,-30.6,217,266.4,81.5,-0.36,-15.76
50205,LOGAN 2 3,50204,LOGAN 2 2,1,Closed,Transformer,YES,-400.2,1.5,400.2,496.4,81,0.64,35.88
21438,SANTA CLARA 4 1,21406,SANTA CLARA 1 2,1,Closed,Line,NO,-163.9,-32.2,167.1,207.2,80.9,0.26,1
21734,SAN JOSE 46 2,21733,SAN JOSE 46 1,1,Closed,Transformer,YES,-321.3,-275.7,423.4,563.5,79.9,0.7,39.26
13467,ARLINGTON 4 1,13468,ARLINGTON 4 2,1,Closed,Transformer,YES,-100.1,25.6,103.4,130.6,79.1,0.36,11.17
13589,ARLINGTON 6 1,13590,ARLINGTON 6 2,1,Closed,Transformer,YES,-102.6,25.6,105.8,133.9,79,0.36,10.79
25974,MOJAVE 6 1,25975,MOJAVE 6 2,1,Closed,Transformer,YES,-131.7,29.5,134.9,171.6,78.6,0.34,10.44
25888,PASADENA 7 1,25889,PASADENA 7 2,1,Closed,Transformer,YES,-74.5,-32,81.1,107,78.4,0.23,6.17
10702,GOLDENDALE 2 1,10703,GOLDENDALE 2 2,1,Closed,Transformer,YES,-135.9,-12.4,136.4,177.2,78.3,0.42,13.49
60774,FOUNTAIN 4 1,60776,FOUNTAIN 4 3,1,Closed,Transformer,YES,-75,17,76.9,98.3,78.2,0.32,7.8
25714,EL MONTE 2 2,25713,EL MONTE 2 1,1,Closed,Transformer,YES,-377.2,-329.6,500.9,690,78.1,0.87,54.48
13550,BOARDMAN 2 1,13552,BOARDMAN 2 3,1,Closed,Transformer,YES,-132.2,28.1,135.1,173.1,78.1,0.42,13.34
13550,BOARDMAN 2 1,13551,BOARDMAN 2 2,1,Closed,Transformer,YES,-132.2,26.3,134.8,173.1,77.9,0.37,11.57
60774,FOUNTAIN 4 1,60775,FOUNTAIN 4 2,1,Closed,Transformer,YES,-205.4,41.4,209.6,269.1,77.9,0.72,16.13
21136,SOUTH SAN FRANCISCO 2 1,21154,BURLINGAME 1 1,1,Closed,Line,NO,-96.4,69.2,118.7,152.8,77.7,0.16,0.64
74203,MOUNTAIN HOME 2 1,74204,MOUNTAIN HOME 2 2,1,Closed,Transformer,YES,-171.7,31,174.4,224.6,77.7,0.43,11.78
25937,EL SEGUNDO 2 1,25938,EL SEGUNDO 2 2,1,Closed,Transformer,YES,-340,57.3,344.8,444.6,77.6,0.59,19.31
40835,ARLINGTON 9 1,40838,ARLINGTON 9 4,1,Closed,Transformer,YES,-228.7,40.9,232.4,299.7,77.5,0.88,19.06
77254,COLSTRIP 2 1,77259,COLSTRIP 2 6,1,Closed,Transformer,YES,-564.7,80.7,570.5,738.4,77.3,0.96,54.71
10937,ABERDEEN 2 1,10940,ABERDEEN 2 4,1,Closed,Transformer,YES,-7.5,0.8,7.5,9.7,77.1,0.03,0.78
77254,COLSTRIP 2 1,77261,COLSTRIP 2 8,1,Closed,Transformer,YES,-565.1,67.4,569.1,738.4,77.1,0.62,41.41
10937,ABERDEEN 2 1,10939,ABERDEEN 2 3,1,Closed,Transformer,YES,-7.5,0.6,7.5,9.7,77,0.02,0.6
28889,NIPTON 2 1,28890,NIPTON 2 2,1,Closed,Transformer,YES,-132.5,12,133.1,172.9,77,0.46,12.03
40872,GLOBE 2 1,40873,GLOBE 2 2,1,Closed,Transformer,YES,-19.9,1.4,20,26,76.9,0.06,1.36
21438,SANTA CLARA 4 1,21310,FREMONT 1 2,1,Closed,Line,NO,131.6,24.5,133.8,174.6,76.7,0.18,0.74
53045,SANTA FE 6 2,53047,SANTA FE 6 4,1,Closed,TransformerWinding,YES,-159,-14.2,159.7,209.1,76.4,-0.42,-23.4
13303,PORTLAND 33 2,13302,PORTLAND 33 1,3,Closed,Transformer,YES,-371.9,-316.8,488.6,655,76.3,0.3,16.94
13303,PORTLAND 33 2,13302,PORTLAND 33 1,4,Closed,Transformer,YES,-371.9,-316.8,488.6,655,76.3,0.3,16.94
13303,PORTLAND 33 2,13302,PORTLAND 33 1,1,Closed,Transformer,YES,-371.9,-316.8,488.6,655,76.3,0.3,16.94
13303,PORTLAND 33 2,13302,PORTLAND 33 1,2,Closed,Transformer,YES,-371.9,-316.8,488.6,655,76.3,0.3,16.94
26095,LONG BEACH 27 2,26094,LONG BEACH 27 1,1,Closed,Transformer,YES,-609.2,-965.2,1141.3,1652.6,75.9,1.78,130.72
40777,BUCKEYE 4 1,40779,BUCKEYE 4 3,1,Closed,Transformer,YES,-50.7,3.4,50.8,67.1,75.8,0.12,3.38
25633,ALHAMBRA 3 2,25632,ALHAMBRA 3 1,1,Closed,Transformer,YES,-281.2,-252.5,377.9,543.1,75.4,1.44,43.58
10118,OAK HARBOR 2 2,10186,CAMANO ISLAND 1,1,Closed,Line,NO,199.5,4.3,199.5,266.6,74.8,1.2,4.91
50204,LOGAN 2 2,50207,LOGAN 2 5,1,Closed,TransformerWinding,YES,-553,71.3,557.6,747.8,74.7,-0.15,-9.7
25594,LOS ANGELES 78 1,25597,LOS ANGELES 78 4,1,Closed,TransformerWinding,YES,502.9,38.3,504.4,680,74.2,0.31,24.85
20473,MIDDLETOWN 5 1,20474,MIDDLETOWN 5 2,1,Closed,Transformer,YES,-77.7,8.6,78.2,107.3,72.9,0.26,8.62
60538,AURORA 16 2,60540,AURORA 16 4,1,Closed,TransformerWinding,YES,-53.6,-16,55.9,79.7,72.8,0.22,5.65
21108,DALY CITY 4 2,21107,DALY CITY 4 1,1,Closed,Transformer,YES,-280.3,-226.4,360.3,533.4,72,0.64,35.65
21717,MARTINEZ 4 1,21718,MARTINEZ 4 2,1,Closed,Transformer,YES,-66.2,-28.1,71.9,103.8,71.8,0.21,5.84
40161,GLENDALE 14 1,40187,PHOENIX 16 2,1,Closed,Line,NO,-120.9,-58.3,134.2,190.1,71.7,1.03,2.7
29081,SUN CITY 4 2,29080,SUN CITY 4 1,1,Closed,Transformer,YES,-989.9,-460.3,1091.7,1580.3,71.6,1.05,86.27
26003,MOJAVE 10 1,26004,MOJAVE 10 2,1,Closed,Transformer,YES,-135.2,34.6,139.6,195,71.6,0.56,13.03
53257,BELEN 2 1,53261,BELEN 2 5,1,Closed,Transformer,YES,-158.5,-52.2,166.8,242.4,71.5,0.4,16.76
80088,EL PASO 37 3,80090,EL PASO 37 5,1,Closed,TransformerWinding,YES,-153.7,15.8,154.5,216.4,71.4,0.05,2.46
70103,GLENROCK 3 1,70104,GLENROCK 3 2,1,Closed,Transformer,YES,-185,8.9,185.2,260,71.2,0.22,7.69
40840,PHOENIX 74 1,40844,PHOENIX 74 5,1,Closed,Transformer,YES,-1396,-402.1,1452.8,2092.4,71.2,1.48,114.31
10128,BREMERTON 5 2,10127,BREMERTON 5 1,1,Closed,Transformer,YES,-341.3,-176.9,384.4,562.2,71.1,0.48,30.83
25195,CANOGA PARK 1 2,25194,CANOGA PARK 1 1,1,Closed,Transformer,YES,-283,-224.2,361,543.1,71.1,0.69,37.75
21755,RODEO 2 1,21757,RODEO 2 3,1,Closed,Transformer,YES,-18.1,-6.6,19.3,28.8,71,0.08,2.72
21497,SAN JOSE 20 2,21496,SAN JOSE 20 1,1,Closed,Transformer,YES,-402.4,-12.6,402.6,571.5,70.9,0.49,30.59
40883,GILA BEND 5 1,40887,GILA BEND 5 5,1,Closed,Transformer,YES,-184.6,44.3,189.9,268.2,70.8,0.81,21.45
40840,PHOENIX 74 1,40843,PHOENIX 74 4,1,Closed,Transformer,YES,-1395.9,-391.8,1449.8,2106.9,70.7,1.64,124.57
28819,IRVINE 9 1,28821,IRVINE 9 3,1,Closed,Transformer,YES,-18.9,-7.7,20.4,30.2,70.3,0.07,1.94
21242,OAKLAND 10 3,21140,SAN FRANCISCO 24 1,1,Closed,Line,NO,200.1,15,200.7,286.1,70.1,0.33,1.63
28163,MONTCLAIR 2 1,28190,UPLAND 1 1,1,Closed,Line,NO,-209.8,-8.3,209.9,300,70.1,0.36,2.13
40840,PHOENIX 74 1,40845,PHOENIX 74 6,1,Closed,Transformer,YES,-1395.5,3.9,1395.5,2004.9,70.1,1.82,147.57
26126,BURBANK 10 2,26125,BURBANK 10 1,5,Closed,Transformer,YES,-872.6,-1756.6,1961.4,3000,69.9,1.91,149.71
26126,BURBANK 10 2,26125,BURBANK 10 1,2,Closed,Transformer,YES,-872.6,-1756.6,1961.4,3000,69.9,1.91,149.71
60512,AURORA 14 3,60513,AURORA 14 4,1,Closed,TransformerWinding,YES,-90.5,-1.6,90.5,142.6,69.8,1.09,37.5
40299,PHOENIX 68 2,40298,PHOENIX 68 1,1,Closed,Transformer,YES,-556.7,-397.4,684,1044.8,69.8,0.95,71.81
28039,ANAHEIM 5 2,28038,ANAHEIM 5 1,1,Closed,Transformer,YES,-220.4,-237.8,324.3,506.5,69.7,0.68,37.36
70179,GLENROCK 6 1,70180,GLENROCK 6 2,1,Closed,Transformer,YES,-71.8,17.2,73.8,106.2,69.5,0.23,6.81
25474,LOS ANGELES 49 2,25473,LOS ANGELES 49 1,1,Closed,Transformer,YES,-246.2,-325.3,408,630,69.5,0.56,36.08
60185,GOLDEN 2 2,60273,LITTLETON 6 1,1,Closed,Line,NO,123.7,56.2,135.8,195.8,69.4,0.79,2.28
53221,FARMINGTON 5 1,53222,FARMINGTON 5 2,1,Closed,Transformer,YES,-27.9,4.7,28.3,40.8,69.3,0.12,3.24
60313,FORT COLLINS 7 1,60888,WELLINGTON 4 5,1,Closed,Line,NO,-144.9,-29.7,147.9,218.5,69.3,2.33,6.18
20136,RIO LINDA 1,20457,YUBA CITY 8 3,1,Closed,Line,NO,-191.4,-0.8,191.4,281.9,69,2.9,7.65
26186,WILMINGTON 5 1,26190,WILMINGTON 5 5,1,Closed,Transformer,YES,-71.1,14.8,72.6,105.3,68.9,0.23,6.81
25267,MARINA DEL REY 2,25266,MARINA DEL REY 1,1,Closed,Transformer,YES,-339.5,-165.3,377.6,568,68.9,0.5,28.32
25595,LOS ANGELES 78 2,25597,LOS ANGELES 78 4,1,Closed,TransformerWinding,YES,-502.5,-4.1,502.5,730.2,68.9,0.12,9.36
28122,YORBA LINDA 1 5,28124,YORBA LINDA 1 7,1,Closed,TransformerWinding,YES,-110.6,-28.1,114.1,171,68.8,0.35,10.68
25994,MOJAVE 8 1,25995,MOJAVE 8 2,1,Closed,Transformer,YES,-128.9,33.4,133.2,195,68.3,0.46,11.82
80040,EL PASO 24 3,80046,EL PASO 27 2,1,Closed,Line,NO,-129.6,-44.2,137,203.3,67.9,0.58,1.63
28298,RIALTO 2 3,28861,SAN BERNARDINO 10 2,1,Closed,Line,NO,-125.1,-131,181.2,269.1,67.9,0.45,1.64
23375,MOSS LANDING 2,23374,MOSS LANDING 1,1,Closed,Transformer,YES,-1048,-151.6,1058.9,1582.3,67.8,0.88,70.95
28728,SAN DIEGO 48 1,28729,SAN DIEGO 48 2,1,Closed,Transformer,YES,-60.1,-25.6,65.3,100,67.7,0.16,5.22
28999,RIVERSIDE 18 2,28998,RIVERSIDE 18 1,1,Closed,Transformer,YES,-320.7,-177.7,366.7,561,67.6,0.38,23.93
40835,ARLINGTON 9 1,40837,ARLINGTON 9 3,1,Closed,Transformer,YES,-199.6,32.8,202.3,299.7,67.5,0.39,10.93
21144,HALF MOON BAY 1,21154,BURLINGAME 1 1,1,Closed,Line,NO,134.2,-53,144.3,214.9,67.4,0.99,3.66
70159,GLENROCK 5 1,70160,GLENROCK 5 2,1,Closed,Transformer,YES,-86.8,-11.8,87.6,134.3,67,0.4,10.17
40384,MESA 9 1,40940,TEMPE 10 2,1,Closed,Line,NO,-127.9,-13.1,128.5,193.7,66.9,0.85,2.51
28724,ESCONDIDO 8 1,28725,ESCONDIDO 8 2,1,Closed,Transformer,YES,-58.4,-22.1,62.4,98.7,66.7,0.28,7.84
40433,MESA 19 2,40440,MESA 21 2,1,Closed,Line,NO,-88,-85.3,122.6,187.3,66.6,0.65,2.27
60797,KREMMLING 2 1,60799,KREMMLING 2 3,1,Closed,Transformer,YES,-12.3,1.6,12.4,18.7,66.5,0.03,0.88
