,SubNum,SubName,SubID,Latitude,Longitude,DataMaintainerAssign,GICSubGroundOhms,GICUsedSubGroundOhms
0,10000,NEAH BAY,1,48.24140026276489830000,-124.57777692112900100000,0.150000,0.150000,
1,10001,FORKS,2,47.69555544178339800000,-124.18364499818500200000,0.078000,0.078000,
2,10002,OCEAN SHORES,3,47.04004054788710220000,-124.05696948097900600000,0.350000,0.350000,
3,10003,WESTPORT,4,46.92752759790739960000,-124.17194985878100500000,0.260000,0.260000,
4,10004,LONG BEACH 1,5,46.31648116171270150000,-124.06118985127599800000,0.059000,0.059000,
5,10005,OCEAN PARK,6,46.49825523077930000000,-123.98254609678899400000,0.055000,0.055000,
6,10006,HOQUIAM,7,47.17434857141189750000,-123.84739726222899500000,0.430000,0.430000,
7,10007,PORT ANGELES 1,8,48.00253557806360050000,-123.76200124148799400000,0.059000,0.059000,
8,10008,ABERDEEN 1,9,47.16499586900079780000,-123.66389735384000000000,0.830000,0.830000,
9,10009,MONTESANO,10,47.18892873351669690000,-123.68600680452000500000,0.054000,0.054000,
10,10010,RAYMOND,11,46.65596043574589660000,-123.61478841571299400000,0.240000,0.240000,
11,10011,ELMA 1,12,47.07187211888069810000,-123.29434649390600500000,0.110000,0.110000,
12,10012,PORT ANGELES 2,13,47.98795926201100310000,-123.33198240106999300000,0.630000,0.630000,
13,10013,CATHLAMET,14,46.19035754225929940000,-123.33202849810800200000,0.300000,0.300000,
14,10014,SHELTON 1,15,47.15037096387860060000,-123.13004892085000100000,0.620000,0.620000,
15,10015,SHELTON 2,16,47.14790098940059690000,-123.07173631810999800000,4.500000,4.500000,
16,10016,ROCHESTER,17,46.79179092354179660000,-123.04182479352799400000,3.400000,3.400000,
17,10017,FRIDAY HARBOR,18,48.62675153973710000000,-123.03752490013299300000,0.019000,0.019000,
18,10018,SEQUIM 1,19,48.08740052245489950000,-123.15799254417399300000,0.039000,0.039000,
19,10019,SEQUIM 2,20,48.00237858459050240000,-123.08174251934700300000,0.470000,0.470000,
20,10020,OLYMPIA 1,21,47.02284596095820040000,-123.13244984759499800000,1.700000,1.700000,
21,10021,OLYMPIA 2,22,47.06728145136730040000,-123.14333293926900100000,0.720000,0.720000,
22,10022,LONGVIEW 1,23,46.12766755863499670000,-123.01099856888500000000,0.290000,0.290000,
23,10023,LONGVIEW 2,24,46.14673337003579690000,-122.98938247971699400000,0.350000,0.350000,
24,10024,CHEHALIS 1,25,46.65998503809780120000,-122.96287915251899400000,0.046000,0.046000,
25,10025,OLYMPIA 3,26,47.14330759182229970000,-123.02125380378099400000,0.180000,0.180000,
26,10026,OLYMPIA 4,27,47.17171162790670280000,-122.92279689031700200000,0.660000,0.660000,
27,10027,WINLOCK,28,46.41866622139870200000,-122.89574978433999800000,0.110000,0.110000,
28,10028,CENTRALIA 1,29,46.75479111695590010000,-122.84811090560900500000,0.480000,0.480000,
29,10029,BELFAIR,30,47.45352055917790320000,-122.92640552663300500000,0.690000,0.690000,
30,10030,CASTLE ROCK 1,31,46.33939014874290050000,-122.80911629766100600000,0.580000,0.580000,
31,10031,OLYMPIA 5,32,46.99550904037040060000,-122.85805745592500700000,0.095000,0.095000,
32,10032,OLYMPIA 6,33,46.99040996629120310000,-122.88598547012999500000,0.140000,0.140000,
33,10033,EASTSOUND,34,48.55136865107449750000,-122.94547064601900400000,4.800000,4.800000,
34,10034,OLYMPIA 7,35,47.07450951508960200000,-122.85190858149600500000,1.900000,1.900000,
35,10035,PORT TOWNSEND,36,48.01428478767090270000,-122.89125635320900200000,0.280000,0.280000,
36,10036,TENINO,37,46.92177912459030150000,-122.80705322497800600000,0.340000,0.340000,
37,10037,LACEY 1,38,46.98922352436930080000,-122.72218142249499800000,0.210000,0.210000,
38,10038,LACEY 2,39,47.00304083191500130000,-122.79064884603299400000,0.055000,0.055000,
