,BusNum,BusNum:1,LineCircuit,BranchDeviceType,LineStatus,NormLineStatus,SeriesCapStatus,LineMeter:1,LineXFType,XFAuto,XFRegBus,XFUseLDCRCC,XFRLDCRCC,XFXLDCRCC,XFRegMax,XFRegMin,XFRegTargetType,XFMVABase,XFNominalKV,XFNominalKV:1,LineR:1,LineX:1,LineG:1,LineC:1,XfrmerMagnetizingG:1,XfrmerMagnetizingB:1,XFFixedTap,XFFixedTap:1,XFTapMax:1,XFTapMin:1,XFStep:1,LineTap:1,LinePhase,XFTableNum,LineLength,LineMonEle,LSName,LineAMVA,LineAMVA:1,LineAMVA:2,LineAMVA:3,LineAMVA:4,LineAMVA:5,LineAMVA:6,LineAMVA:7,LineAMVA:8,LineAMVA:9,LineAMVA:10,LineAMVA:11,LineAMVA:12,LineAMVA:13,LineAMVA:14,OwnerNum,OwnPercent,OwnerNum:1,OwnPercent:1,OwnerNum:2,OwnPercent:2,OwnerNum:3,OwnPercent:3,OwnerNum:4,OwnPercent:4,OwnerNum:5,OwnPercent:5,OwnerNum:6,OwnPercent:6,OwnerNum:7,OwnPercent:7,EMSType,EMSDeviceID,EMSDeviceID:1,EMSType:1,EMSDeviceID:2,EMSDeviceID:3,DataMaintainerAssign,AllLabels
0,10013,10012,1,Transformer,Closed,Closed,NO,10013,Fixed,NO,10013,NO ,0.000000,0.000100,1.010000,0.990000,Middle,100.000000,138.000000,345.000000,0.000261,0.019344,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.100000,0.900000,0.006250,1.000000,0.000000,0,0.000000,YES,Default,473.627901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,100.000000,,,,,,,,,,,,,,,,,,,,,,
1,10020,10019,1,Transformer,Closed,Closed,NO,10020,LTC,YES,10020,NO ,0.000000,0.000100,1.045000,1.010000,Middle,100.000000,138.000000,345.000000,0.000533,0.033552,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.100000,0.900000,0.006250,0.975000,0.000000,0,0.000000,YES,Default,445.045996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,100.000000,,,,,,,,,,,,,,,,,,,,,,
2,10024,10023,1,Transformer,Closed,Closed,NO,10024,LTC,YES,10024,NO ,0.000000,0.000100,1.072000,1.022000,Middle,100.000000,138.000000,345.000000,0.000558,0.024885,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.100000,0.900000,0.006250,1.031250,0.000000,0,0.000000,YES,Default,465.767670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,100.000000,,,,,,,,,,,,,,,,,,,,,,
3,10058,10057,1,Transformer,Closed,Closed,NO,10058,Fixed,NO,10058,NO ,0.000000,0.000100,1.010000,0.990000,Middle,100.000000,138.000000,345.000000,0.000543,0.025187,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.100000,0.900000,0.006250,1.000000,0.000000,0,0.000000,YES,Default,466.208601,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,100.000000,,,,,,,,,,,,,,,,,,,,,,
4,10128,10127,1,Transformer,Closed,Closed,NO,10128,Fixed,NO,10128,NO ,0.000000,0.000100,1.010000,0.990000,Middle,100.000000,138.000000,345.000000,0.000312,0.020028,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.100000,0.900000,0.006250,1.056250,0.000000,0,0.000000,YES,Default,562.170506,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,100.000000,,,,,,,,,,,,,,,,,,,,,,
5,10197,10196,1,Transformer,Closed,Closed,NO,10197,LTC,YES,10197,NO ,0.000000,0.000100,1.070000,1.020000,Middle,100.000000,138.000000,345.000000,0.000476,0.029957,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.100000,0.900000,0.006250,1.056250,0.000000,0,0.000000,YES,Default,499.643469,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,100.000000,,,,,,,,,,,,,,,,,,,,,,
6,10276,10275,1,Transformer,Closed,Closed,NO,10276,Fixed,NO,10276,NO ,0.000000,0.000100,1.010000,0.990000,Middle,100.000000,138.000000,345.000000,0.000351,0.019585,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.100000,0.900000,0.006250,1.000000,0.000000,0,0.000000,YES,Default,614.723587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,100.000000,,,,,,,,,,,,,,,,,,,,,,
7,10276,10275,2,Transformer,Closed,Closed,NO,10276,Fixed,NO,10276,NO ,0.000000,0.000100,1.010000,0.990000,Middle,100.000000,138.000000,345.000000,0.000351,0.019585,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.100000,0.900000,0.006250,1.000000,0.000000,0,0.000000,YES,Default,614.723587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,100.000000,,,,,,,,,,,,,,,,,,,,,,
8,10276,10275,3,Transformer,Closed,Closed,NO,10276,Fixed,NO,10276,NO ,0.000000,0.000100,1.010000,0.990000,Middle,100.000000,138.000000,345.000000,0.000351,0.019585,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.100000,0.900000,0.006250,1.000000,0.000000,0,0.000000,YES,Default,614.723587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,100.000000,,,,,,,,,,,,,,,,,,,,,,
9,10331,10330,1,Transformer,Closed,Closed,NO,10331,LTC,YES,10331,NO ,0.000000,0.000100,1.062000,1.012000,Middle,100.000000,138.000000,345.000000,0.000370,0.024663,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.100000,0.900000,0.006250,1.100000,0.000000,0,0.000000,YES,Default,594.298887,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,100.000000,,,,,,,,,,,,,,,,,,,,,,
