,BusNum,ID,TSSaveAll,TSSaveRotorAngle,TSSaveSpeed,TSSaveMWMech,TSSaveMW,TSSaveMvar,TSSaveVpu,TSSaveEfd,TSSaveExciterState,TSSaveMachineState,TSSaveGovernorState,TSSaveStabilizerState,TSSaveIfd,TSSaveVstab,TSSaveRotorAngleNoShift,TSSaveMWAccel,TSSaveVOEL,TSSaveVUEL,TSSavePrefCtrlState,TSSavePlantCtrlState,TSSaveAeroState,TSSaveAGCState,TSSaveIpu,TSSaveStatus,TSSaveRelayState,TSSaveVSCL,TSSaveVSCLOEL,TSSaveVSCLUEL,TSSaveUELState,TSSaveOELState,TSSaveSCLState,TSSavePowerAngle,TSSavePauxCtrlState,TSSaveMWGovernorRef,TSSaveVperHz
0,2,1,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
1,2,2,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
2,2,3,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
3,2,4,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
4,23,1,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
5,23,10,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
6,23,2,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
7,23,3,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
8,23,4,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
9,23,5,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
